category,account_open_date,number_of_sales
Further Advance Under an Existing Mortgage Contract,2021-04,8004
Further Advance Under an Existing Mortgage Contract - Unspecified,2021-04,230912
Further Advance Under an Existing Mortgage Contract,2021-05,7738
Further Advance Under an Existing Mortgage Contract - Unspecified,2021-05,183643
Further Advance Under an Existing Mortgage Contract,2021-06,8891
Further Advance Under an Existing Mortgage Contract - Unspecified,2021-06,239386
Further Advance Under an Existing Mortgage Contract,2021-07,8509
Further Advance Under an Existing Mortgage Contract - Unspecified,2021-07,189202
Further Advance Under an Existing Mortgage Contract - Unspecified,2021-08,186863
Further Advance Under an Existing Mortgage Contract,2021-08,7765
Further Advance Under an Existing Mortgage Contract,2021-09,8433
Further Advance Under an Existing Mortgage Contract - Unspecified,2021-09,214766
Further Advance Under an Existing Mortgage Contract,2021-10,7894
Further Advance Under an Existing Mortgage Contract - Unspecified,2021-10,186410
Further Advance Under an Existing Mortgage Contract,2021-11,8683
Further Advance Under an Existing Mortgage Contract - Unspecified,2021-11,251407
Further Advance Under an Existing Mortgage Contract,2021-12,7503
Further Advance Under an Existing Mortgage Contract - Unspecified,2021-12,182187
