category,account_open_date,number_of_sales
Further Advance Under a New Mortgage Contract,2021-04,6342
Further Advance Under a New Mortgage Contract - Unspecified,2021-04,232574
Further Advance Under a New Mortgage Contract,2021-05,3889
Further Advance Under a New Mortgage Contract - Unspecified,2021-05,187492
Further Advance Under a New Mortgage Contract,2021-06,4585
Further Advance Under a New Mortgage Contract - Unspecified,2021-06,243692
Further Advance Under a New Mortgage Contract,2021-07,4691
Further Advance Under a New Mortgage Contract - Unspecified,2021-07,193020
Further Advance Under a New Mortgage Contract - Unspecified,2021-08,190499
Further Advance Under a New Mortgage Contract,2021-08,4129
Further Advance Under a New Mortgage Contract,2021-09,4664
Further Advance Under a New Mortgage Contract - Unspecified,2021-09,218535
Further Advance Under a New Mortgage Contract,2021-10,4585
Further Advance Under a New Mortgage Contract - Unspecified,2021-10,189719
Further Advance Under a New Mortgage Contract,2021-11,4645
Further Advance Under a New Mortgage Contract - Unspecified,2021-11,255445
Further Advance Under a New Mortgage Contract,2021-12,4431
Further Advance Under a New Mortgage Contract - Unspecified,2021-12,185259
