category,account_open_date,number_of_sales
Internal Product Transfer,2021-04,131616
Internal Product Transfer - Unspecified,2021-04,107300
Internal Product Transfer,2021-05,95887
Internal Product Transfer - Unspecified,2021-05,95494
Internal Product Transfer,2021-06,77791
Internal Product Transfer - Unspecified,2021-06,170486
Internal Product Transfer,2021-07,104710
Internal Product Transfer - Unspecified,2021-07,93001
Internal Product Transfer - Unspecified,2021-08,101605
Internal Product Transfer,2021-08,93023
Internal Product Transfer,2021-09,81451
Internal Product Transfer - Unspecified,2021-09,141748
Internal Product Transfer,2021-10,98045
Internal Product Transfer - Unspecified,2021-10,96259
Internal Product Transfer,2021-11,148474
Internal Product Transfer - Unspecified,2021-11,111616
Internal Product Transfer,2021-12,85329
Internal Product Transfer - Unspecified,2021-12,104361
