category,account_open_date,number_of_sales
Lifetime Mortgage,2017-01,2931
Other Mortgage,2017-01,85345
Other Mortgage,2017-02,78076
Lifetime Mortgage,2017-02,2274
Other Mortgage,2017-03,94847
Lifetime Mortgage,2017-03,2962
Other Mortgage,2017-04,78959
Lifetime Mortgage,2017-04,2514
Lifetime Mortgage,2017-05,2843
Other Mortgage,2017-05,90149
Lifetime Mortgage,2017-06,2976
Other Mortgage,2017-06,103140
Other Mortgage,2017-07,99531
Lifetime Mortgage,2017-07,3004
Other Mortgage,2017-08,106539
Lifetime Mortgage,2017-08,3316
Lifetime Mortgage,2017-09,3422
Other Mortgage,2017-09,94859
Lifetime Mortgage,2017-10,1982
Other Mortgage,2017-10,101651
Lifetime Mortgage,2017-11,3098
Other Mortgage,2017-11,105120
Other Mortgage,2017-12,87835
Lifetime Mortgage,2017-12,2887
Lifetime Mortgage,2018-01,3115
Other Mortgage,2018-01,94307
Other Mortgage,2018-02,81901
Lifetime Mortgage,2018-02,2954
Other Mortgage,2018-03,87877
Lifetime Mortgage,2018-03,3337
Lifetime Mortgage,2018-04,3347
Other Mortgage,2018-04,89694
Lifetime Mortgage,2018-05,3496
Other Mortgage,2018-05,95899
Other Mortgage,2018-06,102325
Lifetime Mortgage,2018-06,3591
Other Mortgage,2018-07,108222
Lifetime Mortgage,2018-07,3596
Lifetime Mortgage,2018-08,3709
Other Mortgage,2018-08,109191
Lifetime Mortgage,2018-09,3600
Other Mortgage,2018-09,92910
Other Mortgage,2018-10,114120
Lifetime Mortgage,2018-10,4366
Other Mortgage,2018-11,108806
Lifetime Mortgage,2018-11,4465
Other Mortgage,2018-12,91540
Lifetime Mortgage,2018-12,3294
Other Mortgage,2019-01,96813
Lifetime Mortgage,2019-01,3539
Lifetime Mortgage,2019-02,3053
Other Mortgage,2019-02,84381
Other Mortgage,2019-03,85371
Lifetime Mortgage,2019-03,3186
Other Mortgage,2019-04,89659
Lifetime Mortgage,2019-04,3096
Other Mortgage,2019-05,98869
Lifetime Mortgage,2019-05,3447
Other Mortgage,2019-06,94524
Lifetime Mortgage,2019-06,3444
Other Mortgage,2019-07,103247
Lifetime Mortgage,2019-07,4241
Lifetime Mortgage,2019-08,3784
Other Mortgage,2019-08,103681
Other Mortgage,2019-09,97918
Lifetime Mortgage,2019-09,3873
Other Mortgage,2019-10,107524
Lifetime Mortgage,2019-10,4411
Lifetime Mortgage,2019-11,4409
Other Mortgage,2019-11,100367
Lifetime Mortgage,2019-12,3698
Other Mortgage,2019-12,93552
Other Mortgage,2020-01,95756
Lifetime Mortgage,2020-01,4159
Lifetime Mortgage,2020-02,3658
Other Mortgage,2020-02,83432
Lifetime Mortgage,2020-03,3757
Other Mortgage,2020-03,85157
Other Mortgage,2020-04,54190
Lifetime Mortgage,2020-04,2568
Other Mortgage,2020-05,56735
Lifetime Mortgage,2020-05,2227
Lifetime Mortgage,2020-06,2642
Other Mortgage,2020-06,66614
Other Mortgage,2020-07,78887
Lifetime Mortgage,2020-07,3196
Other Mortgage,2020-08,74276
Lifetime Mortgage,2020-08,3293
Lifetime Mortgage,2020-09,4040
Other Mortgage,2020-09,84428
Other Mortgage,2020-10,101304
Lifetime Mortgage,2020-10,4159
Other Mortgage,2020-11,94542
Lifetime Mortgage,2020-11,3984
Lifetime Mortgage,2020-12,3603
Other Mortgage,2020-12,100520
Lifetime Mortgage,2021-01,3432
Other Mortgage,2021-01,87057
Lifetime Mortgage,2021-02,3169
Other Mortgage,2021-02,94274
Lifetime Mortgage,2021-03,3930
Other Mortgage,2021-03,126726
Lifetime Mortgage,2021-04,3126
Other Mortgage,2021-04,89828
Lifetime Mortgage,2021-05,3208
Other Mortgage,2021-05,80659
Other Mortgage,2021-06,153431
Lifetime Mortgage,2021-06,3579
Lifetime Mortgage,2021-07,3400
Other Mortgage,2021-07,76401
Lifetime Mortgage,2021-08,3159
Other Mortgage,2021-08,86552
Lifetime Mortgage,2021-09,3545
Other Mortgage,2021-09,125106
Other Mortgage,2021-10,80155
Lifetime Mortgage,2021-10,3625
Lifetime Mortgage,2021-11,4312
Other Mortgage,2021-11,93976
Lifetime Mortgage,2021-12,3442
Other Mortgage,2021-12,88985
