mortgages_grouped_by,category,postcode_region,date,number_of_sales
Number of sales by sales channel,Direct,London,Q1-2020,6687
Number of sales by sales channel,Direct,London,Q1-2019,7062
Number of sales by sales channel,Direct,London,Q1-2021,7916
Number of sales by sales channel,Direct,London,Q1-2018,8263
Number of sales by sales channel,Direct,London,Q1-2017,9077
Number of sales by sales channel,Direct,London,Q2-2020,4230
Number of sales by sales channel,Direct,London,Q2-2019,6753
Number of sales by sales channel,Direct,London,Q2-2018,8219
Number of sales by sales channel,Direct,London,Q2-2021,8600
Number of sales by sales channel,Direct,London,Q2-2017,8629
Number of sales by sales channel,Direct,London,Q3-2020,5484
Number of sales by sales channel,Direct,London,Q3-2021,5701
Number of sales by sales channel,Direct,London,Q3-2019,7841
Number of sales by sales channel,Direct,London,Q3-2018,8864
Number of sales by sales channel,Direct,London,Q3-2017,9478
Number of sales by sales channel,Direct,London,Q4-2021,5162
Number of sales by sales channel,Direct,London,Q4-2020,6456
Number of sales by sales channel,Direct,London,Q4-2019,7193
Number of sales by sales channel,Direct,London,Q4-2018,7996
Number of sales by sales channel,Direct,London,Q4-2017,8805
Number of sales by sales channel,Intermediary,London,Q1-2017,24981
Number of sales by sales channel,Intermediary,London,Q1-2018,25674
Number of sales by sales channel,Intermediary,London,Q1-2019,26058
Number of sales by sales channel,Intermediary,London,Q1-2020,26248
Number of sales by sales channel,Intermediary,London,Q1-2021,32924
Number of sales by sales channel,Intermediary,London,Q2-2020,17361
Number of sales by sales channel,Intermediary,London,Q2-2017,25195
Number of sales by sales channel,Intermediary,London,Q2-2019,25618
Number of sales by sales channel,Intermediary,London,Q2-2018,27239
Number of sales by sales channel,Intermediary,London,Q2-2021,37631
Number of sales by sales channel,Intermediary,London,Q3-2020,23655
Number of sales by sales channel,Intermediary,London,Q3-2021,24579
Number of sales by sales channel,Intermediary,London,Q3-2017,27939
Number of sales by sales channel,Intermediary,London,Q3-2019,28943
Number of sales by sales channel,Intermediary,London,Q3-2018,29972
Number of sales by sales channel,Intermediary,London,Q4-2021,24840
Number of sales by sales channel,Intermediary,London,Q4-2017,26202
Number of sales by sales channel,Intermediary,London,Q4-2019,27573
Number of sales by sales channel,Intermediary,London,Q4-2020,27728
Number of sales by sales channel,Intermediary,London,Q4-2018,28587
Number of sales by sales channel,Direct,East Midlands,Q1-2020,5652
Number of sales by sales channel,Direct,East Midlands,Q1-2019,5674
Number of sales by sales channel,Direct,East Midlands,Q1-2021,6127
Number of sales by sales channel,Direct,East Midlands,Q1-2018,6472
Number of sales by sales channel,Direct,East Midlands,Q1-2017,6582
Number of sales by sales channel,Direct,East Midlands,Q2-2020,3871
Number of sales by sales channel,Direct,East Midlands,Q2-2019,5955
