pure_protection_grouped_by,subcategory,category,date,number_of_sales
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2017,85608
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2018,86355
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2019,92223
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2020,102893
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2021,106696
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2020,82660
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2017,83973
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2018,89058
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2019,91115
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2021,104499
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2017,83884
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2019,89915
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2020,90110
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2018,90773
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2021,98883
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2017,86768
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2019,89420
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2018,93454
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2021,98827
Number of sales by product type,No subcategory available,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2020,99029
Number of sales by product type,No subcategory available,Income protection,Q1-2017,29002
Number of sales by product type,No subcategory available,Income protection,Q1-2018,34957
Number of sales by product type,No subcategory available,Income protection,Q1-2019,43287
Number of sales by product type,No subcategory available,Income protection,Q1-2021,48111
Number of sales by product type,No subcategory available,Income protection,Q1-2020,55061
Number of sales by product type,No subcategory available,Income protection,Q2-2017,36742
Number of sales by product type,No subcategory available,Income protection,Q2-2020,37143
Number of sales by product type,No subcategory available,Income protection,Q2-2018,39905
Number of sales by product type,No subcategory available,Income protection,Q2-2019,48877
Number of sales by product type,No subcategory available,Income protection,Q2-2021,51815
Number of sales by product type,No subcategory available,Income protection,Q3-2017,39171
Number of sales by product type,No subcategory available,Income protection,Q3-2020,40814
Number of sales by product type,No subcategory available,Income protection,Q3-2018,40901
Number of sales by product type,No subcategory available,Income protection,Q3-2021,48111
Number of sales by product type,No subcategory available,Income protection,Q3-2019,50495
Number of sales by product type,No subcategory available,Income protection,Q4-2017,38896
Number of sales by product type,No subcategory available,Income protection,Q4-2018,44956
Number of sales by product type,No subcategory available,Income protection,Q4-2020,48108
Number of sales by product type,No subcategory available,Income protection,Q4-2021,48685
Number of sales by product type,No subcategory available,Income protection,Q4-2019,51560
Number of sales by product type,No subcategory available,Standalone critical illness,Q1-2018,2980
Number of sales by product type,No subcategory available,Standalone critical illness,Q1-2017,4291
Number of sales by product type,No subcategory available,Standalone critical illness,Q1-2019,6625
Number of sales by product type,No subcategory available,Standalone critical illness,Q1-2021,16112
Number of sales by product type,No subcategory available,Standalone critical illness,Q1-2020,16518
Number of sales by product type,No subcategory available,Standalone critical illness,Q2-2018,2707
Number of sales by product type,No subcategory available,Standalone critical illness,Q2-2017,4149
Number of sales by product type,No subcategory available,Standalone critical illness,Q2-2019,5843
Number of sales by product type,No subcategory available,Standalone critical illness,Q2-2020,11305
Number of sales by product type,No subcategory available,Standalone critical illness,Q2-2021,15628
Number of sales by product type,No subcategory available,Standalone critical illness,Q3-2018,3050
Number of sales by product type,No subcategory available,Standalone critical illness,Q3-2017,4569
Number of sales by product type,No subcategory available,Standalone critical illness,Q3-2019,5693
Number of sales by product type,No subcategory available,Standalone critical illness,Q3-2020,12743
Number of sales by product type,No subcategory available,Standalone critical illness,Q3-2021,14848
Number of sales by product type,No subcategory available,Standalone critical illness,Q4-2017,4035
Number of sales by product type,No subcategory available,Standalone critical illness,Q4-2018,5611
Number of sales by product type,No subcategory available,Standalone critical illness,Q4-2019,5841
Number of sales by product type,No subcategory available,Standalone critical illness,Q4-2020,13392
Number of sales by product type,No subcategory available,Standalone critical illness,Q4-2021,14085
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q1-2017,29002
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q1-2018,34957
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q1-2019,43287
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q1-2021,48111
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q1-2020,55061
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q2-2017,36742
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q2-2020,37143
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q2-2018,39905
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q2-2019,48877
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q2-2021,51815
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q3-2017,39171
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q3-2020,40814
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q3-2018,40901
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q3-2021,48111
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q3-2019,50495
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q4-2017,38896
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q4-2018,44956
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q4-2020,48108
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q4-2021,48685
Number of sales by premium payment method type and product type,Regular and single payments,Income protection,Q4-2019,51560
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2018,80419
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2017,81348
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2019,85967
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2020,97816
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2021,101970
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2020,79160
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2017,79184
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2018,82567
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2019,84276
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2021,99234
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2017,78776
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2019,82886
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2018,83250
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2020,86610
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2021,94471
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2017,80726
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2019,82742
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2018,86412
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2021,94873
Number of sales by premium payment method type and product type,Regular Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2020,95218
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q1-2018,2644
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q1-2017,4156
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q1-2019,6004
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q1-2021,15614
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q1-2020,16021
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q2-2018,2270
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q2-2017,4004
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q2-2019,5211
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q2-2020,10951
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q2-2021,15161
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q3-2018,2489
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q3-2017,4377
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q3-2019,5060
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q3-2020,12338
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q3-2021,14318
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q4-2017,3764
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q4-2018,5082
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q4-2019,5252
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q4-2020,12980
Number of sales by premium payment method type and product type,Regular Payment,Standalone critical illness,Q4-2021,13627
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2017,4260
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2021,4726
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2020,5077
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2018,5936
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2019,6256
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2020,3500
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2017,4789
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2021,5265
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2018,6491
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2019,6839
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2020,3500
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2021,4412
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2017,5108
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2019,7029
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2018,7523
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2020,3811
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2021,3954
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2017,6042
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2019,6678
Number of sales by premium payment method type and product type,Single Payment,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2018,7042
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q1-2017,135
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q1-2018,336
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q1-2020,497
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q1-2021,498
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q1-2019,621
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q2-2017,145
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q2-2020,354
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q2-2018,437
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q2-2021,467
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q2-2019,632
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q3-2017,192
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q3-2020,405
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q3-2021,530
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q3-2018,561
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q3-2019,633
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q4-2017,271
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q4-2020,412
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q4-2021,458
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q4-2018,529
Number of sales by premium payment method type and product type,Single Payment,Standalone critical illness,Q4-2019,589
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2018,66510
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2017,70890
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2019,71576
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2020,81428
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q1-2021,85517
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2020,65483
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2017,69137
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2018,70413
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2019,71114
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q2-2021,85091
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2017,68115
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2019,69791
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2020,71593
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2018,71708
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q3-2021,80871
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2019,66584
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2017,70044
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2021,75373
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2018,76402
Number of advised and non-advised sales by product type,Advised sale,Critical illness (sold as a rider benefit to mortgage protection and term assurance contract),Q4-2020,82916
Number of advised and non-advised sales by product type,Advised sale,Income protection,Q1-2017,26161
