retail_investments_grouped_by,date,category,subcategory,number_of_sales
Number of advised and non-advised sales by product type,Q1-2020,Bonds,Advised sale,9511
Number of advised and non-advised sales by product type,Q1-2019,Bonds,Advised sale,9963
Number of advised and non-advised sales by product type,Q1-2021,Bonds,Advised sale,10164
Number of advised and non-advised sales by product type,Q1-2018,Bonds,Advised sale,10914
Number of advised and non-advised sales by product type,Q1-2017,Bonds,Advised sale,13453
Number of advised and non-advised sales by product type,Q2-2020,Bonds,Advised sale,5390
Number of advised and non-advised sales by product type,Q2-2021,Bonds,Advised sale,8432
Number of advised and non-advised sales by product type,Q2-2019,Bonds,Advised sale,9704
Number of advised and non-advised sales by product type,Q2-2018,Bonds,Advised sale,10932
Number of advised and non-advised sales by product type,Q2-2017,Bonds,Advised sale,12745
Number of advised and non-advised sales by product type,Q3-2020,Bonds,Advised sale,5409
Number of advised and non-advised sales by product type,Q3-2021,Bonds,Advised sale,8544
Number of advised and non-advised sales by product type,Q3-2019,Bonds,Advised sale,9765
Number of advised and non-advised sales by product type,Q3-2018,Bonds,Advised sale,10938
Number of advised and non-advised sales by product type,Q3-2017,Bonds,Advised sale,13457
Number of advised and non-advised sales by product type,Q4-2020,Bonds,Advised sale,6459
Number of advised and non-advised sales by product type,Q4-2019,Bonds,Advised sale,9152
Number of advised and non-advised sales by product type,Q4-2021,Bonds,Advised sale,9348
Number of advised and non-advised sales by product type,Q4-2018,Bonds,Advised sale,10260
Number of advised and non-advised sales by product type,Q4-2017,Bonds,Advised sale,12537
Number of advised and non-advised sales by product type,Q1-2019,Bonds,Non advised sale,5236
Number of advised and non-advised sales by product type,Q1-2018,Bonds,Non advised sale,5550
Number of advised and non-advised sales by product type,Q1-2020,Bonds,Non advised sale,6011
Number of advised and non-advised sales by product type,Q1-2017,Bonds,Non advised sale,6399
Number of advised and non-advised sales by product type,Q1-2021,Bonds,Non advised sale,9038
Number of advised and non-advised sales by product type,Q2-2018,Bonds,Non advised sale,7529
Number of advised and non-advised sales by product type,Q2-2017,Bonds,Non advised sale,7904
Number of advised and non-advised sales by product type,Q2-2019,Bonds,Non advised sale,8128
Number of advised and non-advised sales by product type,Q2-2020,Bonds,Non advised sale,8219
Number of advised and non-advised sales by product type,Q2-2021,Bonds,Non advised sale,8652
Number of advised and non-advised sales by product type,Q3-2018,Bonds,Non advised sale,5479
Number of advised and non-advised sales by product type,Q3-2017,Bonds,Non advised sale,5823
Number of advised and non-advised sales by product type,Q3-2021,Bonds,Non advised sale,6018
Number of advised and non-advised sales by product type,Q3-2019,Bonds,Non advised sale,6222
Number of advised and non-advised sales by product type,Q3-2020,Bonds,Non advised sale,6957
Number of advised and non-advised sales by product type,Q4-2018,Bonds,Non advised sale,5475
Number of advised and non-advised sales by product type,Q4-2021,Bonds,Non advised sale,6407
Number of advised and non-advised sales by product type,Q4-2019,Bonds,Non advised sale,6647
Number of advised and non-advised sales by product type,Q4-2020,Bonds,Non advised sale,6951
Number of advised and non-advised sales by product type,Q4-2017,Bonds,Non advised sale,8516
Number of advised and non-advised sales by product type,Q1-2017,Decumulation products,Advised sale,36810
Number of advised and non-advised sales by product type,Q1-2018,Decumulation products,Advised sale,37023
Number of advised and non-advised sales by product type,Q1-2020,Decumulation products,Advised sale,37818
Number of advised and non-advised sales by product type,Q1-2019,Decumulation products,Advised sale,40673
Number of advised and non-advised sales by product type,Q1-2021,Decumulation products,Advised sale,45531
Number of advised and non-advised sales by product type,Q2-2020,Decumulation products,Advised sale,26988
Number of advised and non-advised sales by product type,Q2-2017,Decumulation products,Advised sale,37099
Number of advised and non-advised sales by product type,Q2-2021,Decumulation products,Advised sale,37317
Number of advised and non-advised sales by product type,Q2-2019,Decumulation products,Advised sale,42642
Number of advised and non-advised sales by product type,Q2-2018,Decumulation products,Advised sale,44404
Number of advised and non-advised sales by product type,Q3-2020,Decumulation products,Advised sale,31176
Number of advised and non-advised sales by product type,Q3-2021,Decumulation products,Advised sale,38457
Number of advised and non-advised sales by product type,Q3-2017,Decumulation products,Advised sale,38963
Number of advised and non-advised sales by product type,Q3-2019,Decumulation products,Advised sale,42699
Number of advised and non-advised sales by product type,Q3-2018,Decumulation products,Advised sale,44552
Number of advised and non-advised sales by product type,Q4-2021,Decumulation products,Advised sale,36182
Number of advised and non-advised sales by product type,Q4-2020,Decumulation products,Advised sale,37075
Number of advised and non-advised sales by product type,Q4-2017,Decumulation products,Advised sale,39826
Number of advised and non-advised sales by product type,Q4-2019,Decumulation products,Advised sale,40105
Number of advised and non-advised sales by product type,Q4-2018,Decumulation products,Advised sale,42941
Number of advised and non-advised sales by product type,Q1-2017,Decumulation products,Non advised sale,18443
Number of advised and non-advised sales by product type,Q1-2018,Decumulation products,Non advised sale,20655
Number of advised and non-advised sales by product type,Q1-2020,Decumulation products,Non advised sale,23270
Number of advised and non-advised sales by product type,Q1-2019,Decumulation products,Non advised sale,24361
Number of advised and non-advised sales by product type,Q1-2021,Decumulation products,Non advised sale,27211
Number of advised and non-advised sales by product type,Q2-2020,Decumulation products,Non advised sale,18017
Number of advised and non-advised sales by product type,Q2-2017,Decumulation products,Non advised sale,20634
Number of advised and non-advised sales by product type,Q2-2018,Decumulation products,Non advised sale,22883
Number of advised and non-advised sales by product type,Q2-2019,Decumulation products,Non advised sale,25693
Number of advised and non-advised sales by product type,Q2-2021,Decumulation products,Non advised sale,26041
Number of advised and non-advised sales by product type,Q3-2017,Decumulation products,Non advised sale,20057
Number of advised and non-advised sales by product type,Q3-2018,Decumulation products,Non advised sale,23096
Number of advised and non-advised sales by product type,Q3-2020,Decumulation products,Non advised sale,23493
Number of advised and non-advised sales by product type,Q3-2021,Decumulation products,Non advised sale,25950
Number of advised and non-advised sales by product type,Q3-2019,Decumulation products,Non advised sale,26544
Number of advised and non-advised sales by product type,Q4-2017,Decumulation products,Non advised sale,20951
Number of advised and non-advised sales by product type,Q4-2018,Decumulation products,Non advised sale,22306
Number of advised and non-advised sales by product type,Q4-2020,Decumulation products,Non advised sale,24110
Number of advised and non-advised sales by product type,Q4-2019,Decumulation products,Non advised sale,25017
Number of advised and non-advised sales by product type,Q4-2021,Decumulation products,Non advised sale,25572
Number of advised and non-advised sales by product type,Q1-2021,Endowments,Advised and non advised sales,3012
Number of advised and non-advised sales by product type,Q1-2019,Endowments,Advised and non advised sales,9928
Number of advised and non-advised sales by product type,Q1-2020,Endowments,Advised and non advised sales,10014
Number of advised and non-advised sales by product type,Q1-2017,Endowments,Advised and non advised sales,10851
Number of advised and non-advised sales by product type,Q1-2018,Endowments,Advised and non advised sales,11058
Number of advised and non-advised sales by product type,Q2-2021,Endowments,Advised and non advised sales,3052
Number of advised and non-advised sales by product type,Q2-2020,Endowments,Advised and non advised sales,7410
Number of advised and non-advised sales by product type,Q2-2019,Endowments,Advised and non advised sales,9169
Number of advised and non-advised sales by product type,Q2-2017,Endowments,Advised and non advised sales,10525
Number of advised and non-advised sales by product type,Q2-2018,Endowments,Advised and non advised sales,10550
Number of advised and non-advised sales by product type,Q3-2021,Endowments,Advised and non advised sales,2889
Number of advised and non-advised sales by product type,Q3-2020,Endowments,Advised and non advised sales,7654
Number of advised and non-advised sales by product type,Q3-2019,Endowments,Advised and non advised sales,10010
Number of advised and non-advised sales by product type,Q3-2018,Endowments,Advised and non advised sales,10920
Number of advised and non-advised sales by product type,Q3-2017,Endowments,Advised and non advised sales,12712
Number of advised and non-advised sales by product type,Q4-2021,Endowments,Advised and non advised sales,2919
Number of advised and non-advised sales by product type,Q4-2020,Endowments,Advised and non advised sales,6053
Number of advised and non-advised sales by product type,Q4-2019,Endowments,Advised and non advised sales,11291
Number of advised and non-advised sales by product type,Q4-2018,Endowments,Advised and non advised sales,11819
Number of advised and non-advised sales by product type,Q4-2017,Endowments,Advised and non advised sales,13624
Number of advised and non-advised sales by product type,Q1-2019,ISA,Advised sale,21399
Number of advised and non-advised sales by product type,Q1-2018,ISA,Advised sale,23669
Number of advised and non-advised sales by product type,Q1-2020,ISA,Advised sale,25367
Number of advised and non-advised sales by product type,Q1-2017,ISA,Advised sale,28128
Number of advised and non-advised sales by product type,Q1-2021,ISA,Advised sale,47542
Number of advised and non-advised sales by product type,Q2-2018,ISA,Advised sale,17401
Number of advised and non-advised sales by product type,Q2-2020,ISA,Advised sale,19508
Number of advised and non-advised sales by product type,Q2-2019,ISA,Advised sale,20662
Number of advised and non-advised sales by product type,Q2-2017,ISA,Advised sale,25615
Number of advised and non-advised sales by product type,Q2-2021,ISA,Advised sale,35516
Number of advised and non-advised sales by product type,Q3-2020,ISA,Advised sale,16411
Number of advised and non-advised sales by product type,Q3-2019,ISA,Advised sale,18318
Number of advised and non-advised sales by product type,Q3-2018,ISA,Advised sale,20112
Number of advised and non-advised sales by product type,Q3-2017,ISA,Advised sale,22276
Number of advised and non-advised sales by product type,Q3-2021,ISA,Advised sale,35649
Number of advised and non-advised sales by product type,Q4-2019,ISA,Advised sale,19279
Number of advised and non-advised sales by product type,Q4-2017,ISA,Advised sale,20894
Number of advised and non-advised sales by product type,Q4-2018,ISA,Advised sale,21356
Number of advised and non-advised sales by product type,Q4-2020,ISA,Advised sale,30066
Number of advised and non-advised sales by product type,Q4-2021,ISA,Advised sale,36090
Number of advised and non-advised sales by product type,Q1-2019,ISA,Non advised sale,28194
Number of advised and non-advised sales by product type,Q1-2017,ISA,Non advised sale,49469
Number of advised and non-advised sales by product type,Q1-2020,ISA,Non advised sale,55556
Number of advised and non-advised sales by product type,Q1-2018,ISA,Non advised sale,59752
Number of advised and non-advised sales by product type,Q1-2021,ISA,Non advised sale,248745
Number of advised and non-advised sales by product type,Q2-2019,ISA,Non advised sale,35685
Number of advised and non-advised sales by product type,Q2-2017,ISA,Non advised sale,49128
