category,account_open_date,number_of_sales
Retirement Interest-Only Mortgage,2018-08,6
Retirement Interest-Only Mortgage - Unspecified,2018-08,112894
Retirement Interest-Only Mortgage,2018-09,8
Retirement Interest-Only Mortgage - Unspecified,2018-09,96502
Retirement Interest-Only Mortgage - Unspecified,2018-10,118462
Retirement Interest-Only Mortgage,2018-10,24
Retirement Interest-Only Mortgage,2018-11,33
Retirement Interest-Only Mortgage - Unspecified,2018-11,113238
Retirement Interest-Only Mortgage,2018-12,41
Retirement Interest-Only Mortgage - Unspecified,2018-12,94793
Retirement Interest-Only Mortgage,2019-01,75
Retirement Interest-Only Mortgage - Unspecified,2019-01,100277
Retirement Interest-Only Mortgage - Unspecified,2019-02,87351
Retirement Interest-Only Mortgage,2019-02,83
Retirement Interest-Only Mortgage - Unspecified,2019-03,88474
Retirement Interest-Only Mortgage,2019-03,83
Retirement Interest-Only Mortgage,2019-04,95
Retirement Interest-Only Mortgage - Unspecified,2019-04,92660
Retirement Interest-Only Mortgage,2019-05,103
Retirement Interest-Only Mortgage - Unspecified,2019-05,102213
Retirement Interest-Only Mortgage,2019-06,109
Retirement Interest-Only Mortgage - Unspecified,2019-06,97859
Retirement Interest-Only Mortgage - Unspecified,2019-07,107324
Retirement Interest-Only Mortgage,2019-07,164
Retirement Interest-Only Mortgage - Unspecified,2019-08,107320
Retirement Interest-Only Mortgage,2019-08,145
Retirement Interest-Only Mortgage,2019-09,96
Retirement Interest-Only Mortgage - Unspecified,2019-09,101695
Retirement Interest-Only Mortgage,2019-10,160
Retirement Interest-Only Mortgage - Unspecified,2019-10,111775
Retirement Interest-Only Mortgage,2019-11,148
Retirement Interest-Only Mortgage - Unspecified,2019-11,104628
Retirement Interest-Only Mortgage,2019-12,159
Retirement Interest-Only Mortgage - Unspecified,2019-12,97091
Retirement Interest-Only Mortgage - Unspecified,2020-01,99756
Retirement Interest-Only Mortgage,2020-01,159
Retirement Interest-Only Mortgage,2020-02,127
Retirement Interest-Only Mortgage - Unspecified,2020-02,86963
Retirement Interest-Only Mortgage - Unspecified,2020-03,88769
Retirement Interest-Only Mortgage,2020-03,145
Retirement Interest-Only Mortgage - Unspecified,2020-04,56654
Retirement Interest-Only Mortgage,2020-04,104
Retirement Interest-Only Mortgage - Unspecified,2020-05,58867
Retirement Interest-Only Mortgage,2020-05,95
Retirement Interest-Only Mortgage - Unspecified,2020-06,69120
Retirement Interest-Only Mortgage,2020-06,136
Retirement Interest-Only Mortgage - Unspecified,2020-07,81973
Retirement Interest-Only Mortgage,2020-07,110
Retirement Interest-Only Mortgage - Unspecified,2020-08,77460
Retirement Interest-Only Mortgage,2020-08,109
Retirement Interest-Only Mortgage,2020-09,167
Retirement Interest-Only Mortgage - Unspecified,2020-09,88301
Retirement Interest-Only Mortgage - Unspecified,2020-10,105272
Retirement Interest-Only Mortgage,2020-10,191
Retirement Interest-Only Mortgage,2020-11,171
Retirement Interest-Only Mortgage - Unspecified,2020-11,98355
Retirement Interest-Only Mortgage,2020-12,163
Retirement Interest-Only Mortgage - Unspecified,2020-12,103960
Retirement Interest-Only Mortgage,2021-01,157
Retirement Interest-Only Mortgage - Unspecified,2021-01,90332
Retirement Interest-Only Mortgage - Unspecified,2021-02,97279
Retirement Interest-Only Mortgage,2021-02,164
Retirement Interest-Only Mortgage,2021-03,175
Retirement Interest-Only Mortgage - Unspecified,2021-03,130481
Retirement Interest-Only Mortgage,2021-04,209
Retirement Interest-Only Mortgage - Unspecified,2021-04,92745
Retirement Interest-Only Mortgage - Unspecified,2021-05,83704
Retirement Interest-Only Mortgage,2021-05,163
Retirement Interest-Only Mortgage,2021-06,212
Retirement Interest-Only Mortgage - Unspecified,2021-06,156798
Retirement Interest-Only Mortgage,2021-07,156
Retirement Interest-Only Mortgage - Unspecified,2021-07,79645
Retirement Interest-Only Mortgage,2021-08,185
Retirement Interest-Only Mortgage - Unspecified,2021-08,89526
Retirement Interest-Only Mortgage,2021-09,238
Retirement Interest-Only Mortgage - Unspecified,2021-09,128413
Retirement Interest-Only Mortgage - Unspecified,2021-10,83627
Retirement Interest-Only Mortgage,2021-10,153
Retirement Interest-Only Mortgage - Unspecified,2021-11,98072
Retirement Interest-Only Mortgage,2021-11,216
Retirement Interest-Only Mortgage,2021-12,190
Retirement Interest-Only Mortgage - Unspecified,2021-12,92237
