category,account_open_date,number_of_sales
LTV Bands - Unspecified,2017-01,3
>95%,2017-01,293
>85% - <=90%,2017-01,9997
>30% - <=50%,2017-01,14275
>75% - <=85%,2017-01,16093
>90% - <=95%,2017-01,6753
0% - <=30%,2017-01,10473
>50% - <=75%,2017-01,30389
>30% - <=50%,2017-02,12956
>75% - <=85%,2017-02,14657
>95%,2017-02,321
>90% - <=95%,2017-02,6842
>50% - <=75%,2017-02,26126
LTV Bands - Unspecified,2017-02,1
0% - <=30%,2017-02,9490
>85% - <=90%,2017-02,9957
LTV Bands - Unspecified,2017-03,1
>30% - <=50%,2017-03,15043
>95%,2017-03,368
0% - <=30%,2017-03,11416
>85% - <=90%,2017-03,12426
>50% - <=75%,2017-03,31534
>75% - <=85%,2017-03,18625
>90% - <=95%,2017-03,8396
>50% - <=75%,2017-04,26452
>90% - <=95%,2017-04,7115
>85% - <=90%,2017-04,10903
>30% - <=50%,2017-04,12234
>95%,2017-04,359
0% - <=30%,2017-04,9110
>75% - <=85%,2017-04,15300
>30% - <=50%,2017-05,14063
0% - <=30%,2017-05,10594
>50% - <=75%,2017-05,30046
>75% - <=85%,2017-05,17927
>95%,2017-05,384
LTV Bands - Unspecified,2017-05,3
>85% - <=90%,2017-05,12139
>90% - <=95%,2017-05,7836
>85% - <=90%,2017-06,14483
>30% - <=50%,2017-06,15183
LTV Bands - Unspecified,2017-06,3
>95%,2017-06,434
>90% - <=95%,2017-06,8971
>75% - <=85%,2017-06,21349
0% - <=30%,2017-06,11375
>50% - <=75%,2017-06,34318
LTV Bands - Unspecified,2017-07,2
>90% - <=95%,2017-07,8179
>95%,2017-07,497
>50% - <=75%,2017-07,33699
>75% - <=85%,2017-07,19492
0% - <=30%,2017-07,11488
>30% - <=50%,2017-07,15711
>85% - <=90%,2017-07,13467
0% - <=30%,2017-08,12665
>75% - <=85%,2017-08,20997
>30% - <=50%,2017-08,16506
>50% - <=75%,2017-08,35005
LTV Bands - Unspecified,2017-08,1
>90% - <=95%,2017-08,9047
>85% - <=90%,2017-08,15058
>95%,2017-08,576
>30% - <=50%,2017-09,14707
>50% - <=75%,2017-09,32032
>75% - <=85%,2017-09,19212
>90% - <=95%,2017-09,7539
>85% - <=90%,2017-09,13039
0% - <=30%,2017-09,11305
LTV Bands - Unspecified,2017-09,4
>95%,2017-09,443
>95%,2017-10,396
0% - <=30%,2017-10,10875
>30% - <=50%,2017-10,15726
>50% - <=75%,2017-10,34737
LTV Bands - Unspecified,2017-10,3
>85% - <=90%,2017-10,13819
>75% - <=85%,2017-10,20204
>90% - <=95%,2017-10,7873
>30% - <=50%,2017-11,16870
>75% - <=85%,2017-11,20631
>90% - <=95%,2017-11,8532
0% - <=30%,2017-11,12495
LTV Bands - Unspecified,2017-11,4
>95%,2017-11,425
>50% - <=75%,2017-11,34604
>85% - <=90%,2017-11,14657
LTV Bands - Unspecified,2017-12,3
>50% - <=75%,2017-12,29434
>90% - <=95%,2017-12,6753
>75% - <=85%,2017-12,18003
0% - <=30%,2017-12,10549
>30% - <=50%,2017-12,13896
>95%,2017-12,304
>85% - <=90%,2017-12,11780
LTV Bands - Unspecified,2018-01,1
0% - <=30%,2018-01,11849
>50% - <=75%,2018-01,33417
>90% - <=95%,2018-01,5934
>75% - <=85%,2018-01,18239
>85% - <=90%,2018-01,11262
>30% - <=50%,2018-01,16419
>95%,2018-01,301
>95%,2018-02,312
>30% - <=50%,2018-02,14224
>75% - <=85%,2018-02,15550
LTV Bands - Unspecified,2018-02,3
>90% - <=95%,2018-02,5942
>50% - <=75%,2018-02,27110
0% - <=30%,2018-02,11080
>85% - <=90%,2018-02,10634
>75% - <=85%,2018-03,17396
>85% - <=90%,2018-03,12409
>30% - <=50%,2018-03,14013
