category,account_open_date,number_of_sales
First time buyer,2017-01,20741
Remortgagors,2017-01,39834
Council/registered social landlord tenant exercising their right to buy,2017-01,1183
Home movers/second or subsequent buyers,2017-01,22549
Other,2017-01,3969
Other,2017-02,3181
Remortgagors,2017-02,30142
First time buyer,2017-02,22048
Council/registered social landlord tenant exercising their right to buy,2017-02,1287
Home movers/second or subsequent buyers,2017-02,23692
First time buyer,2017-03,28437
Remortgagors,2017-03,34681
Other,2017-03,4121
Council/registered social landlord tenant exercising their right to buy,2017-03,1424
Home movers/second or subsequent buyers,2017-03,29146
Remortgagors,2017-04,28755
First time buyer,2017-04,23539
Council/registered social landlord tenant exercising their right to buy,2017-04,909
Home movers/second or subsequent buyers,2017-04,24936
Other,2017-04,3334
First time buyer,2017-05,26960
Other,2017-05,4049
Home movers/second or subsequent buyers,2017-05,28156
Council/registered social landlord tenant exercising their right to buy,2017-05,1088
Remortgagors,2017-05,32739
Council/registered social landlord tenant exercising their right to buy,2017-06,1195
Home movers/second or subsequent buyers,2017-06,34580
Remortgagors,2017-06,33144
First time buyer,2017-06,32881
Other,2017-06,4316
Council/registered social landlord tenant exercising their right to buy,2017-07,1058
Other,2017-07,4323
First time buyer,2017-07,28029
Home movers/second or subsequent buyers,2017-07,32004
Remortgagors,2017-07,37121
Council/registered social landlord tenant exercising their right to buy,2017-08,937
Other,2017-08,4706
Home movers/second or subsequent buyers,2017-08,36804
Remortgagors,2017-08,35511
First time buyer,2017-08,31897
Remortgagors,2017-09,34109
Council/registered social landlord tenant exercising their right to buy,2017-09,1242
Other,2017-09,4713
First time buyer,2017-09,27908
Home movers/second or subsequent buyers,2017-09,30309
Home movers/second or subsequent buyers,2017-10,30954
Council/registered social landlord tenant exercising their right to buy,2017-10,1108
First time buyer,2017-10,28199
Remortgagors,2017-10,39971
Other,2017-10,3401
Home movers/second or subsequent buyers,2017-11,33901
Remortgagors,2017-11,37469
First time buyer,2017-11,31122
Council/registered social landlord tenant exercising their right to buy,2017-11,1133
Other,2017-11,4593
Council/registered social landlord tenant exercising their right to buy,2017-12,944
Home movers/second or subsequent buyers,2017-12,28517
First time buyer,2017-12,27495
Remortgagors,2017-12,29657
Other,2017-12,4109
First time buyer,2018-01,21823
Council/registered social landlord tenant exercising their right to buy,2018-01,958
Other,2018-01,4389
Home movers/second or subsequent buyers,2018-01,23450
Remortgagors,2018-01,46802
Remortgagors,2018-02,33672
First time buyer,2018-02,22444
Home movers/second or subsequent buyers,2018-02,23388
Council/registered social landlord tenant exercising their right to buy,2018-02,1110
Other,2018-02,4241
First time buyer,2018-03,27937
Home movers/second or subsequent buyers,2018-03,26601
Other,2018-03,4785
Remortgagors,2018-03,30859
Council/registered social landlord tenant exercising their right to buy,2018-03,1032
Council/registered social landlord tenant exercising their right to buy,2018-04,972
First time buyer,2018-04,24045
Remortgagors,2018-04,39239
Other,2018-04,5107
Home movers/second or subsequent buyers,2018-04,23678
Home movers/second or subsequent buyers,2018-05,29468
Remortgagors,2018-05,34791
Other,2018-05,5061
Council/registered social landlord tenant exercising their right to buy,2018-05,753
First time buyer,2018-05,29322
Remortgagors,2018-06,35998
Home movers/second or subsequent buyers,2018-06,31915
Council/registered social landlord tenant exercising their right to buy,2018-06,986
First time buyer,2018-06,31816
Other,2018-06,5201
Home movers/second or subsequent buyers,2018-07,31265
Other,2018-07,5212
Remortgagors,2018-07,45528
Council/registered social landlord tenant exercising their right to buy,2018-07,765
First time buyer,2018-07,29048
Remortgagors,2018-08,37347
Council/registered social landlord tenant exercising their right to buy,2018-08,859
Other,2018-08,5438
Home movers/second or subsequent buyers,2018-08,36308
First time buyer,2018-08,32948
Remortgagors,2018-09,34796
First time buyer,2018-09,27557
Home movers/second or subsequent buyers,2018-09,28389
Council/registered social landlord tenant exercising their right to buy,2018-09,806
Other,2018-09,4962
First time buyer,2018-10,30292
Remortgagors,2018-10,49584
Other,2018-10,5806
Council/registered social landlord tenant exercising their right to buy,2018-10,885
Home movers/second or subsequent buyers,2018-10,31919
Other,2018-11,5987
Remortgagors,2018-11,39221
Council/registered social landlord tenant exercising their right to buy,2018-11,1099
Home movers/second or subsequent buyers,2018-11,34184
First time buyer,2018-11,32780
Remortgagors,2018-12,32959
Other,2018-12,4581
Home movers/second or subsequent buyers,2018-12,28210
First time buyer,2018-12,28440
Council/registered social landlord tenant exercising their right to buy,2018-12,644
First time buyer,2019-01,23167
Remortgagors,2019-01,46817
Other,2019-01,4969
Council/registered social landlord tenant exercising their right to buy,2019-01,900
Home movers/second or subsequent buyers,2019-01,24499
Home movers/second or subsequent buyers,2019-02,23079
Council/registered social landlord tenant exercising their right to buy,2019-02,990
Remortgagors,2019-02,35870
First time buyer,2019-02,22971
Other,2019-02,4524
Remortgagors,2019-03,31405
First time buyer,2019-03,26713
Other,2019-03,4819
Council/registered social landlord tenant exercising their right to buy,2019-03,1071
Home movers/second or subsequent buyers,2019-03,24549
Council/registered social landlord tenant exercising their right to buy,2019-04,782
Remortgagors,2019-04,37121
First time buyer,2019-04,25567
Other,2019-04,4537
Home movers/second or subsequent buyers,2019-04,24748
Remortgagors,2019-05,39558
First time buyer,2019-05,28495
Council/registered social landlord tenant exercising their right to buy,2019-05,961
Home movers/second or subsequent buyers,2019-05,28315
Other,2019-05,4987
Council/registered social landlord tenant exercising their right to buy,2019-06,825
Remortgagors,2019-06,31731
Home movers/second or subsequent buyers,2019-06,29894
Other,2019-06,4685
First time buyer,2019-06,30833
Remortgagors,2019-07,39612
Other,2019-07,5230
First time buyer,2019-07,30368
Home movers/second or subsequent buyers,2019-07,31415
Council/registered social landlord tenant exercising their right to buy,2019-07,863
Other,2019-08,4822
First time buyer,2019-08,32546
Council/registered social landlord tenant exercising their right to buy,2019-08,992
Home movers/second or subsequent buyers,2019-08,33887
Remortgagors,2019-08,35218
Council/registered social landlord tenant exercising their right to buy,2019-09,1026
Home movers/second or subsequent buyers,2019-09,29450
Remortgagors,2019-09,38176
First time buyer,2019-09,28426
Other,2019-09,4713
Remortgagors,2019-10,40151
First time buyer,2019-10,31748
Home movers/second or subsequent buyers,2019-10,33847
Other,2019-10,5313
Council/registered social landlord tenant exercising their right to buy,2019-10,876
Other,2019-11,5218
Home movers/second or subsequent buyers,2019-11,30937
First time buyer,2019-11,29693
Remortgagors,2019-11,37856
Council/registered social landlord tenant exercising their right to buy,2019-11,1072
Home movers/second or subsequent buyers,2019-12,29510
Remortgagors,2019-12,33541
Other,2019-12,4514
Council/registered social landlord tenant exercising their right to buy,2019-12,785
First time buyer,2019-12,28900
Council/registered social landlord tenant exercising their right to buy,2020-01,1088
Home movers/second or subsequent buyers,2020-01,24500
Remortgagors,2020-01,45979
Other,2020-01,4841
First time buyer,2020-01,23507
Home movers/second or subsequent buyers,2020-02,23794
Other,2020-02,4366
Remortgagors,2020-02,34842
Council/registered social landlord tenant exercising their right to buy,2020-02,982
First time buyer,2020-02,23106
First time buyer,2020-03,25514
Other,2020-03,4451
Home movers/second or subsequent buyers,2020-03,24418
Council/registered social landlord tenant exercising their right to buy,2020-03,849
Remortgagors,2020-03,33682
Council/registered social landlord tenant exercising their right to buy,2020-04,376
First time buyer,2020-04,12120
Remortgagors,2020-04,31740
Other,2020-04,2893
Home movers/second or subsequent buyers,2020-04,9629
Other,2020-05,2627
Council/registered social landlord tenant exercising their right to buy,2020-05,561
Home movers/second or subsequent buyers,2020-05,12403
